Федеральный округ,Ваше образование,Ваше образование
Дальневосточный федеральный округ,"Высшее (включая высшее неполное, полное, а также ученую степень)",115
Дальневосточный федеральный округ,Среднее общее (9-11 классов школы),52
Дальневосточный федеральный округ,"Среднее профессиональное (колледж, техникум)",31
Дальневосточный федеральный округ,Начальное (1-8 классы школы),4
Приволжский федеральный округ,"Высшее (включая высшее неполное, полное, а также ученую степень)",489
Приволжский федеральный округ,Среднее общее (9-11 классов школы),201
Приволжский федеральный округ,"Среднее профессиональное (колледж, техникум)",190
Приволжский федеральный округ,Начальное (1-8 классы школы),19
Северо-Западный федеральный округ,"Высшее (включая высшее неполное, полное, а также ученую степень)",1049
Северо-Западный федеральный округ,Среднее общее (9-11 классов школы),309
Северо-Западный федеральный округ,"Среднее профессиональное (колледж, техникум)",217
Северо-Западный федеральный округ,Начальное (1-8 классы школы),21
Северо-Кавказский федеральный округ,"Высшее (включая высшее неполное, полное, а также ученую степень)",27
Северо-Кавказский федеральный округ,Среднее общее (9-11 классов школы),20
Северо-Кавказский федеральный округ,"Среднее профессиональное (колледж, техникум)",12
Сибирский федеральный округ,"Высшее (включая высшее неполное, полное, а также ученую степень)",311
Сибирский федеральный округ,Среднее общее (9-11 классов школы),152
Сибирский федеральный округ,"Среднее профессиональное (колледж, техникум)",119
Сибирский федеральный округ,Начальное (1-8 классы школы),17
Уральский федеральный округ,"Высшее (включая высшее неполное, полное, а также ученую степень)",267
Уральский федеральный округ,"Среднее профессиональное (колледж, техникум)",130
Уральский федеральный округ,Среднее общее (9-11 классов школы),101
Уральский федеральный округ,Начальное (1-8 классы школы),19
Центральный федеральный округ,"Высшее (включая высшее неполное, полное, а также ученую степень)",1493
Центральный федеральный округ,Среднее общее (9-11 классов школы),427
Центральный федеральный округ,"Среднее профессиональное (колледж, техникум)",333
Центральный федеральный округ,Начальное (1-8 классы школы),35
Южный федеральный округ,"Высшее (включая высшее неполное, полное, а также ученую степень)",167
Южный федеральный округ,Среднее общее (9-11 классов школы),61
Южный федеральный округ,"Среднее профессиональное (колледж, техникум)",41
Южный федеральный округ,Начальное (1-8 классы школы),10
