District,All,"Есть ли у вас вспомогательные источники какой-либо финансовой поддержки (например, родные, партнер/ка, друзья регулярно или хотя бы иногда помогают вам материально)?",Есть ли у вас постоянный источник дохода?,"Приходилось ли вам в 2022 году получать оплату за секс, эскорт, работу моделью в порнографии или вебкам-моделью?"
Дальневосточный федеральный округ,34.4059405940594,65.84158415841584,64.85148514851485,2.9702970297029703
Приволжский федеральный округ,36.41425389755011,65.10590858416946,72.8587319243604,7.786429365962181
Северо-Западный федеральный округ,34.410288582183185,64.9497487437186,74.93734335839599,3.9473684210526314
Северо-Кавказский федеральный округ,41.52542372881356,76.27118644067797,61.016949152542374,6.779661016949152
Сибирский федеральный округ,35.83959899749373,63.37792642140469,69.2821368948247,8.347245409015025
Уральский федеральный округ,35.1063829787234,63.05609284332688,71.95357833655706,7.156673114119923
Центральный федеральный округ,34.25885439440315,64.43569553805774,72.8583916083916,4.108391608391608
Южный федеральный округ,39.247311827956985,73.11827956989248,65.59139784946237,5.376344086021505
Все,36.40100687514794,67.01955278745797,69.16875178413117,5.809051256401874
