Федеральный округ,Вынудил ли вас  вооруженный конфликт между Россией и Украиной покинуть Россию в 2022 году?,Вынудил ли вас  вооруженный конфликт между Россией и Украиной покинуть Россию в 2022 году?
Дальневосточный федеральный округ,Нет,177
Дальневосточный федеральный округ,Да,25
Приволжский федеральный округ,Нет,809
Приволжский федеральный округ,Да,90
Северо-Западный федеральный округ,Нет,1262
Северо-Западный федеральный округ,Да,334
Северо-Кавказский федеральный округ,Нет,50
Северо-Кавказский федеральный округ,Да,9
Сибирский федеральный округ,Нет,537
Сибирский федеральный округ,Да,62
Уральский федеральный округ,Нет,466
Уральский федеральный округ,Да,51
Центральный федеральный округ,Нет,1796
Центральный федеральный округ,Да,492
Южный федеральный округ,Нет,239
Южный федеральный округ,Да,40
